Catégorie,Question,Oui/Non,Précisez (Obligatoire)
CLOUD - Localisation,"Vous êtes-vous assurés de la conformité du lieu de stockage des données selon les règles définies par l'entreprise et par la réglementation relative au contexte (exemples RGPD, code de santé publique, …) ?",Non,"L'API OpenAI est hébergée aux États-Unis (OpenAI Inc.). Le transfert de données hors UE n'a pas été évalué au regard du RGPD (article 44+). Aucune DPA (Data Processing Agreement) avec OpenAI vérifiée."
IA - Sécurité liée à l'usage de l'IA,"Des outils d'IA générative sont-ils utilisés dans le projet ? (ChatGPT, Copilot, Gemini, Claude, etc.)",Oui,L'application utilise OpenAI GPT-4o-mini via API comme moteur LLM principal (LLM_PROVIDER=openai). Pipeline multi-agents basé sur ce modèle.
IA - Sécurité liée à l'usage de l'IA,Une validation a-t-elle été réalisée pour s'assurer que ces outils sont autorisés dans le cadre du client ?,Non,Aucune validation formelle de l'autorisation d'usage de l'API OpenAI pour les données traitées.
IA - Sécurité liée à l'usage de l'IA,Les équipes ont-elles été formées aux bonnes pratiques d'usage sécurisé de l'IA ?,Non,Aucune formation formelle aux pratiques d'usage sécurisé de l'IA réalisée.
IA - Protection des données,"Avez-vous vérifié qu'aucune donnée sensible, confidentielle ou personnelle n'est envoyée vers un service d'IA publique ?",Non,"Les templates de spécifications, le contenu extrait des sources (GitHub, BigQuery, PostgreSQL) et les documents uploadés sont envoyés à l'API OpenAI (service public) sans filtrage ni anonymisation préalable."
IA - Protection des données,Vous-êtes vous assurés que les données ne sont pas utilisées pour entraîner les modèles publics (désactivation de l'Opt-In) ?,Non vérifié,"L'API OpenAI désactive par défaut l'entraînement sur les données API (opt-out automatique), mais cela n'a pas été formellement vérifié et documenté."
IA - Protection des données,Un mécanisme d'anonymisation ou pseudonymisation est-il en place avant toute interaction avec une IA ?,Non,Aucun mécanisme d'anonymisation des données avant envoi à l'API OpenAI.
IA - Protection des données,"L'IA est-elle hébergée dans un environnement conforme au niveau de sensibilité (on-premise, cloud privé, tenant dédié…) ?",Non,Utilisation de l'API OpenAI public cloud. Pas d'hébergement on-premise ou cloud privé.
IA - Confidentialité et propriété intellectuelle,Les prompts et outputs et artefacts générés sont-ils classifiés et protégés selon les politiques internes de sécurité du client ou Jems ?,Non,Aucune classification des prompts/outputs. Les spécifications générées ne sont pas protégées.
IA - Confidentialité et propriété intellectuelle,Les risques liés aux droits d'auteur et à la réutilisation des contenus produits par l'IA ont-ils été évalués ?,Non,Aucune évaluation des risques liés aux droits d'auteur sur les spécifications générées par le LLM.
IA - Confidentialité et propriété intellectuelle,Une politique d'usage est-elle définie pour éviter toute fuite de code ou documents internes via l'IA ?,Non,Aucune politique d'usage de l'IA définie pour ce projet.
IA - Sécurité des modèles,Avez-vous cartographié tous les composants du SIA (Système IA),Partiellement,"Pipeline multi-agents documenté : orchestrator_agent, extraction_agent, mapping_agent, template_agent, validation_agent, spec_agent. Interactions avec l'API OpenAI via llm_client.py."
IA - Sécurité des modèles,Les modèles utilisés (internes ou externes) ont-ils été validés ?,Non,GPT-4o-mini utilisé sans validation formelle ni processus d'approbation documenté.
IA - Sécurité des modèles,"Des mécanismes existent-ils pour protéger les modèles contre les attaques (ex : prompt injection, exfiltration d'informations) ?",Non,Aucun mécanisme de protection contre le prompt injection (R15 identifié dans l'analyse de risques). Pas de sanitisation des inputs LLM.
IA - Sécurité des modèles,"Les dépendances IA (packages ML, modèles open-source, datasets) sont-elles vérifiées et maintenues à jour ?",Partiellement,Fichier requirements.txt présent mais sans épinglage de versions précises pour toutes les dépendances. Pas de processus de mise à jour automatique.
IA - Traçabilité audit et gouvernance,Un registre des usages de l'IA a-t-il été créé pour le projet ?,Non,Aucun registre des usages de l'IA. Les appels à l'API OpenAI ne sont pas journalisés.
IA - Traçabilité audit et gouvernance,Les prompts et résultats critiques sont-ils archivés et audités ?,Non,Aucun archivage des prompts ou des spécifications générées. Pas de piste d'audit.
IA - Conformité réglementaire,"L'IA utilisée est-elle conforme au RGPD (finalité, minimisation, transfert hors UE, etc.) ?",Non vérifié,"Transfert de données vers l'API OpenAI (USA) non évalué au regard du RGPD (article 44). Principe de minimisation des données non appliqué — des données potentiellement sensibles sont transmises sans filtrage."
IA - Conformité réglementaire,Le projet a-t-il été évalué selon les exigences de l'AI Act (UE) lorsque pertinent ?,Non,Aucune évaluation au regard de l'AI Act européen réalisée.
IA - Conformité réglementaire,Un DPO ou juriste a-t-il été consulté en cas de traitement sensible impliquant l'IA ?,Non,Aucune consultation DPO ou juridique.
IA - Qualité et sécurité du code généré,Le code généré par l'IA fait-il systématiquement l'objet d'une revue humaine ?,Partiellement,Le code produit par le pipeline IA (spécifications techniques) fait l'objet d'une validation via ValidationGate. Revue humaine non systématisée pour le code source de l'application lui-même.
IA - Qualité et sécurité du code généré,Des outils d'analyse de vulnérabilités sont-ils exécutés sur tout code généré par IA ?,Non,Aucun outil d'analyse de vulnérabilités (SAST/DAST) configuré.
IA - Qualité et sécurité du code généré,L'intégration d'IA dans l'application a-t-elle été testée pour éviter les escalades de privilèges,Non,Pas de tests réalisés pour les escalades de privilèges via le pipeline LLM.
IA - Qualité et sécurité du code généré,L'intégration d'IA dans l'application a-t-elle été testée pour éviter les injections de commandes,Non,Pas de tests d'injection de commandes via les inputs du pipeline IA.
IA - Qualité et sécurité du code généré,L'intégration d'IA dans l'application a-t-elle été testée pour éviter la production de données erronées ayant un impact métier,Partiellement,Un agent de validation (validation_agent.py) est en place pour vérifier la qualité des spécifications générées. Tests unitaires non implémentés.
Phase de conception,Une analyse de risque a-t-elle été réalisée ?,Oui,Analyse de risques complète réalisée — 15 risques identifiés et cotés (Impact × Vraisemblance) sur base OWASP Top 10.
Phase de conception,analyse globale,Oui,Analyse globale du projet réalisée (fichier securite_analyse_risques.csv — 15 risques couvrant auth - injection - CORS - credentials - cloud - IA).
Phase de conception,analyse par fonctionnalité,Non,Analyse par fonctionnalité non réalisée. À planifier pour la phase de production.
Phase de conception,Exigences de sécurité en fonction du contexte ont-elles été prises en compte ?,Partiellement,Les risques principaux ont été identifiés. Les exigences de sécurité formelles (SSO - chiffrement - logging) ne sont pas encore implémentées.
Phase de conception,Y a-t-il des spécifications explicites ?,Partiellement,README.md présent. Pas de spécifications de sécurité formelles documentées.
Phase de conception,"Le cycle de vie des données privées (personnelles ou confidentielles) a-t-il été établi ?",Non,Aucun cycle de vie des données défini. Les credentials sont stockés en mémoire sans procédure de suppression.
Phase de conception,"Une checklist a-t-elle été établie (ex : Top 10 OWASP) ? (préciser la fréquence de contrôle)",Non formellement,L'analyse de risques est basée sur l'OWASP Top 10 mais aucune checklist OWASP formelle périodique n'est établie.
Phase de conception,"Un ou plusieurs méthodes sont-elles utilisées pour mesurer la sécurité des développements ? (ex : Suivi des checklists, choix d'outils automatiques de scan, audits de sécurité, etc)",Non,Aucune méthode outillée de mesure de la sécurité des développements en place.
Phase de conception,Un outil automatisé de scan pour rechercher les vulnérabilités est-il mis en place ?,Non,Aucun outil de scan automatique de vulnérabilités (Snyk - SonarQube - Bandit - Semgrep) configuré.
Phase de conception,Des tests automatisés d'intrusion ou d'analyse de code sont-ils prévus / mis en place ?,Non,Pas de tests d'intrusion ni d'analyse statique de code automatisés prévus à ce stade.
Phase de conception,Est-ce que le client a été sensibilisé à la nécessité d'un audit de sécurité ?,N/A,Projet interne JEMS. Un audit de sécurité avant mise en production est recommandé.
Phase de Réalisation,Des contrôles issus de la checklist de sécurité ont-ils été réalisés ?,Non,Aucun contrôle formel issu d'une checklist de sécurité réalisé durant le développement.
Phase de Réalisation,Des revues de codes sont-elles organisées ?,Non,Pas de processus formel de revue de code sécurité organisé.
Phase de Réalisation,Les secrets sont-ils isolés dans un gestionnaire de mots de passe,Non,Teampass non utilisé. Clé OpenAI en fichier .env.
Phase de Réalisation,Les secrets sont-ils déportés dans des variables d'environnement,Partiellement,Les secrets sont dans le fichier .env chargé via python-dotenv. Le fichier .env est exclu du dépôt Git (.gitignore) mais n'est pas chiffré.
Phase de Réalisation,Les secrets sont-ils dans un fichier de configuration exclu du dépôt de sources,Oui,.env est référencé dans .gitignore et n'est pas commité dans le dépôt Git/GitLab.
Phase de Réalisation,Des règles d'authentification ont-elles été définies ?,Non,Module auth_sso.py présent mais désactivé. Aucune règle d'authentification en vigueur.
Phase de Réalisation,Les données entrantes sont-elles filtrées ?,Non,"Aucune validation/sanitisation des inputs utilisateur. Risque SQL injection (BigQuery f-strings), path traversal (upload fichiers), SSRF (PostgreSQL host). "
Phase de Réalisation,L'intégration des librairies est-elle gérée selon les règles établies ?,Non,Pas de processus formel de validation des librairies tierces. requirements.txt sans épinglage strict de versions.
Phase de Réalisation,La gestion des accès aux backend a-t-elle été prévue ?,Non,Aucune gestion des accès au backend. API entièrement ouverte sans token - sans auth - sans restriction IP.
Phase de Réalisation,La gestion des erreurs et des logs a-t-elle été prévue ?,Non,Journalisation absente (R10 critique dans l'analyse de risques). Erreurs non interceptées de façon sécurisée — stack traces potentiellement exposées.
Contrôles à la fin du projet,Les données du client ont-elles été effacées des postes de travail et des environnements Jems ?,N/A,Projet en cours de développement. Non applicable à ce stade.
Contrôles à la fin du projet,Un PV de destruction ou de suppression des données a-t-il été fait et envoyé au client ?,N/A,Projet en cours de développement. Non applicable à ce stade.
Contrôles à la fin du projet,Les postes de travail du client ont-ils été restitués ?,N/A,Projet interne JEMS. Non applicable.
Contrôles à la fin du projet,Les membres du groupe Teams projet ont-ils été supprimés ?,N/A,Projet en cours de développement. Non applicable à ce stade.
Contrôles à la fin du projet,"Est-ce qu'un ticket a été fait au support IT Jems pour supprimer ou archiver les actifs JEMS utilisés dans le cadre du projet ? (ex : VM, teams, accès Git, …)",N/A,Projet en cours de développement. À réaliser en fin de projet.
